ds,yhat,yhat_lower,yhat_upper
2021-12-28,180.3300018,173.857967,186.8020366
2021-12-29,179.2899933,172.8195833,185.7604033
2021-12-30,179.3800049,172.9113961,185.8486137
2021-12-31,178.1999969,171.7329591,184.6670348
2022-01-03,177.5700073,171.1047034,184.0353112
2022-01-04,182.0099945,175.5432317,188.4767573
2022-01-05,179.6999969,173.2341505,186.1658434
2022-01-06,174.9199982,168.4521773,181.387819
2022-01-07,172,165.5326863,178.4673137
2022-01-10,172.1699982,165.7043569,178.6356394
2022-01-11,172.1900024,165.7261543,178.6538505
2022-01-12,175.0800018,168.6166958,181.5433079
2022-01-13,175.5299988,169.0683239,181.9916737
2022-01-14,172.1900024,165.7283276,178.6516773
2022-01-18,173.0700073,166.6099461,179.5300686
2022-01-19,169.8000031,163.3399418,176.2600643
2022-01-20,166.2299957,159.7696197,172.6903717
2022-01-21,164.5099945,158.050951,170.969038
2022-01-24,162.4100037,155.9520195,168.8679878
2022-01-25,161.6199951,155.1636906,168.0762996
2022-01-26,159.7799988,153.3249195,166.235078
2022-01-27,159.6900024,153.2367011,166.1433037
2022-01-28,159.2200012,152.7684417,165.6715607
2022-01-31,170.3300018,163.8599944,176.8000092
2022-02-01,174.7799988,168.3085519,181.2514456
2022-02-02,174.6100006,168.1403288,181.0796724
2022-02-03,175.8399963,169.3718563,182.3081364
2022-02-04,172.8999939,166.4323311,179.3676567
2022-02-07,172.3899994,165.9239597,178.8560391
2022-02-08,171.6600037,165.1956517,178.1243556
2022-02-09,174.8300018,168.3658264,181.2941772
2022-02-10,176.2799988,169.8172117,182.7427858
2022-02-11,172.1199951,165.6561608,178.5838295
2022-02-14,168.6399994,162.17594,175.1040587
2022-02-15,168.8800049,162.4177293,175.3422805
2022-02-16,172.7899933,166.3269133,179.2530733
2022-02-17,172.5500031,166.088767,179.0112391
2022-02-18,168.8800049,162.4182957,175.341714
2022-02-22,167.3000031,160.8397041,173.760302
2022-02-23,164.3200073,157.8601287,170.7798859
2022-02-24,160.0700073,153.6088629,166.5311518
2022-02-25,162.7400055,156.2794671,169.2005439
2022-02-28,164.8500061,158.3905067,171.3095055
2022-03-01,165.1199951,158.6622431,171.5777472
2022-03-02,163.1999969,156.743406,169.6565879
2022-03-03,166.5599976,160.1034066,173.0165885
2022-03-04,166.2299957,159.7750719,172.6849195
2022-03-07,163.1699982,156.7153884,169.624608
2022-03-08,159.3000031,152.8445619,165.7554442
2022-03-09,157.4400024,150.9858444,163.8941605
2022-03-10,162.9499969,156.4926881,169.4073058
2022-03-11,158.5200043,152.0612812,164.9787274
2022-03-14,154.7299957,148.2706396,161.1893519
2022-03-15,150.6199951,144.1597358,157.0802545
2022-03-16,155.0899963,148.6282696,161.5517231
2022-03-17,159.5899963,153.1267609,166.0532318
2022-03-18,160.6199951,154.1583369,167.0816533
2022-03-21,163.9799957,157.5183375,170.4416539
2022-03-22,165.3800049,158.9197101,171.8402997
2022-03-23,168.8200073,162.3595384,175.2804763
2022-03-24,170.2100067,163.7509897,176.6690237
2022-03-25,174.0700073,167.6102644,180.5297502
2022-03-28,174.7200012,168.2620099,181.1779925
2022-03-29,175.6000061,169.1436307,182.0563815
2022-03-30,178.9600067,172.5036313,185.4163821
2022-03-31,177.7700043,171.3150696,184.2249389
2022-04-01,174.6100006,168.1552465,181.0647547
2022-04-04,174.3099976,167.8569216,180.7630735
2022-04-05,178.4400024,171.9859326,184.8940723
2022-04-06,175.0599976,168.6059277,181.5140674
2022-04-07,171.8300018,165.375932,178.2840717
2022-04-08,172.1399994,165.6876182,178.5923806
2022-04-11,170.0899963,163.6386745,176.5413182
2022-04-12,165.75,159.2974017,172.2025983
2022-04-13,167.6600037,161.2085519,174.1114555
2022-04-14,170.3999939,163.949236,176.8507518
2022-04-18,165.2899933,158.836638,171.7433486
2022-04-19,165.0700073,158.61837,171.5216446
2022-04-20,167.3999939,160.9492172,173.8507706
2022-04-21,167.2299957,160.7809374,173.6790541
2022-04-22,166.4199982,159.9725573,172.867439
2022-04-25,161.7899933,155.3408653,168.2391213
2022-04-26,162.8800049,156.432408,169.3276018
2022-04-27,156.8000031,150.3482554,163.2517507
