ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (observed),Independence Day (observed)_lower,Independence Day (observed)_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Juneteenth National Independence Day (observed),Juneteenth National Independence Day (observed)_lower,Juneteenth National Independence Day (observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (observed),New Year's Day (observed)_lower,New Year's Day (observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (observed),Veterans Day (observed)_lower,Veterans Day (observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-08-12,145.7363686146605,141.95147572265537,151.0498405095714,145.7363686146605,145.7363686146605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063907871095077095,0.0063907871095077095,0.0063907871095077095,0.0019247719999998334,0.0019247719999998334,0.0019247719999998334,0.004466015109507876,0.004466015109507876,0.004466015109507876,0.0,0.0,0.0,146.66773872058954
2021-08-13,146.05407886190847,142.39818276163388,151.23078889712664,146.05407886190847,146.05407886190847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00545627707239592,0.00545627707239592,0.00545627707239592,0.003063148655631103,0.003063148655631103,0.003063148655631103,0.0023931284167648167,0.0023931284167648167,0.0023931284167648167,0.0,0.0,0.0,146.85099038373258
2021-08-16,147.00720960365229,142.68339538813552,151.53965068139644,147.00720960365229,147.00720960365229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003562888317647332,-0.0003562888317647332,-0.0003562888317647332,0.002282045900087252,0.002282045900087252,0.002282045900087252,-0.0026383347318519853,-0.0026383347318519853,-0.0026383347318519853,0.0,0.0,0.0,146.9548325766816
2021-08-17,147.32491985090024,142.82339217647825,151.67353219869327,147.32491985090024,147.32491985090024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005055779502927751,-0.0005055779502927751,-0.0005055779502927751,0.0034152831047096956,0.0034152831047096956,0.0034152831047096956,-0.003920861055002471,-0.003920861055002471,-0.003920861055002471,0.0,0.0,0.0,147.25043561989497
2021-08-18,147.64263005841485,142.87910420343425,151.95983880562616,147.64263005841485,147.64263005841485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020362136037744066,-0.0020362136037744066,-0.0020362136037744066,0.0029793008258614624,0.0029793008258614624,0.0029793008258614624,-0.005015514429635869,-0.005015514429635869,-0.005015514429635869,0.0,0.0,0.0,147.34199812659287
2021-08-19,147.96034026592946,142.92977418153924,152.08519451336034,147.96034026592946,147.96034026592946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004008306563323217,-0.004008306563323217,-0.004008306563323217,0.0019247720000020053,0.0019247720000020053,0.0019247720000020053,-0.005933078563325222,-0.005933078563325222,-0.005933078563325222,0.0,0.0,0.0,147.36726986293002
2021-08-20,148.27805047344407,143.45602674994572,152.1218010661414,148.27805047344407,148.27805047344407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003624346308262245,-0.003624346308262245,-0.003624346308262245,0.0030631486556310645,0.0030631486556310645,0.0030631486556310645,-0.006687494963893309,-0.006687494963893309,-0.006687494963893309,0.0,0.0,0.0,147.74063946861432
2021-08-23,149.2311810959879,143.98048059917218,152.75044904429052,149.2311810959879,149.2311810959879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005870801100235153,-0.005870801100235153,-0.005870801100235153,0.0022820459000950275,0.0022820459000950275,0.0022820459000950275,-0.00815284700033018,-0.00815284700033018,-0.00815284700033018,0.0,0.0,0.0,148.35507451382017
2021-08-24,149.5488913035025,144.5590148113651,153.25621808786119,149.5488913035025,149.5488913035025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005031838270827866,-0.005031838270827866,-0.005031838270827866,0.0034152831047066495,0.0034152831047066495,0.0034152831047066495,-0.008447121375534515,-0.008447121375534515,-0.008447121375534515,0.0,0.0,0.0,148.79638546888165
2021-08-25,149.86660151101708,144.72015760898591,153.57833015315117,149.86660151101708,149.86660151101708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005705230870831832,-0.005705230870831832,-0.005705230870831832,0.0029793008258586803,0.0029793008258586803,0.0029793008258586803,-0.008684531696690513,-0.008684531696690513,-0.008684531696690513,0.0,0.0,0.0,149.01157794956978
