changepoint_prior_scale,holidays_prior_scale,n_changepoints,seasonality_mode,seasonality_prior_scale,mse,rmse,mae,mape,r2
0.7,0.1,10,multiplicative,1.0,625.0818853728017,25.001637653817834,23.834715915410396,0.1269016158351231,-31.602918362597414
0.7,0.1,10,multiplicative,10.0,720.0326683395108,26.83342446165809,25.601390122903094,0.13627166623322212,-36.55534571326692
0.7,0.1,25,additive,0.01,90.9186106396812,9.535125098271191,8.295807255181861,0.04479060995239436,-3.742117968365756
0.7,0.1,25,additive,0.1,74.97848343199846,8.659011689101618,7.234315905241324,0.03908888838002569,-2.9107154302302125
0.7,0.1,25,additive,1.0,84.18050540633638,9.17499348263182,7.61080108250878,0.04116995764723201,-3.390672981745623
0.7,0.1,25,additive,10.0,71.07863553834413,8.430814642627611,7.168399525798267,0.03866223719495643,-2.7073078039997243
0.7,0.1,25,multiplicative,0.01,74.76485391460228,8.646667214285646,7.270273675961595,0.039309010108580185,-2.8995729769317062
0.7,0.1,25,multiplicative,0.1,92.87355724670665,9.637092779812107,8.746371235924837,0.04635262499484156,-3.8440837525670926
0.7,0.1,25,multiplicative,1.0,129.82107750960753,11.393905279122148,10.031576636482171,0.053052574873146,-5.77118644906156
0.7,0.1,25,multiplicative,10.0,223.12896483291016,14.937501960934103,12.238477001511239,0.06447858090443317,-10.63792391846326
0.7,0.1,50,additive,0.01,46.20952555473324,6.797758862649752,5.723924697449932,0.030914114291091116,-1.4101888480367726
0.7,0.1,50,additive,0.1,108.97238774594979,10.438984038015855,9.748425512546046,0.052262319149580336,-4.683763910930797
0.7,0.1,50,additive,1.0,116.84823812619773,10.809636354947271,10.14424533136403,0.054358738284481865,-5.094551222148612
0.7,0.1,50,additive,10.0,115.35233222303593,10.740220306075473,10.056167830678483,0.05389257605683152,-5.016528007622367
0.7,0.1,50,multiplicative,0.01,31.493075126154643,5.611869129457194,4.846603222336318,0.026068570012248042,-0.6426106424645452
0.7,0.1,50,multiplicative,0.1,37.54252051528414,6.127195158902982,5.252659937899857,0.02832038748688161,-0.9581366219818552
0.7,0.1,50,multiplicative,1.0,66.07282359744907,8.128519151570542,7.052852672912435,0.038012209995296475,-2.4462154865504977
0.7,0.1,50,multiplicative,10.0,83.92596700813522,9.161111668795181,8.294840079468832,0.04458038079626868,-3.377396809757774
0.7,1.0,10,additive,0.01,87.8391035210918,9.372251784981653,8.458876507685929,0.04533855830990356,-3.5814975416123422
0.7,1.0,10,additive,0.1,468.94400829718785,21.655115060816183,20.832058950986088,0.11100688332059352,-23.459104601989903
0.7,1.0,10,additive,1.0,546.949336271297,23.38694798966503,22.52191871537034,0.11997291924342106,-27.52769369295475
0.7,1.0,10,additive,10.0,517.8174918805786,22.755603527056333,21.90719392644217,0.11671136100824137,-26.00823973556478
0.7,1.0,10,multiplicative,0.01,45.30004347454219,6.730530697838187,5.361937389132314,0.02890144215981431,-1.3627522310005427
0.7,1.0,10,multiplicative,0.1,385.4368613204077,19.632545971432428,18.64160581631676,0.09936365908935609,-19.10355253867322
0.7,1.0,10,multiplicative,1.0,600.8661850394011,24.51257197928037,23.372606059919075,0.12445284167917216,-30.339879839905112
0.7,1.0,10,multiplicative,10.0,678.4431131932655,26.046940572613618,24.85062758715901,0.13229078011560413,-34.38612452337259
0.7,1.0,25,additive,0.01,96.11664600484752,9.803909730553801,8.609344326177693,0.04646085952700076,-4.013236243622346
0.7,1.0,25,additive,0.1,74.65651603101341,8.640400224006607,7.283445020141285,0.039319867358116864,-2.8939223073844387
0.7,1.0,25,additive,1.0,77.04887994007811,8.777749138593453,7.27422483745007,0.03933570154306788,-3.018702831418249
0.7,1.0,25,additive,10.0,83.37228435510296,9.130842477838666,7.59054504731063,0.041060587377139184,-3.3485179208345555
0.7,1.0,25,multiplicative,0.01,76.99027282791164,8.774410112817364,7.369974698170345,0.03985236624178768,-3.0156460112829304
0.7,1.0,25,multiplicative,0.1,97.51573461556478,9.875005550153618,8.917253061761398,0.047237894358092614,-4.086209677702986
0.7,1.0,25,multiplicative,1.0,180.831056829116,13.447343857770425,11.306836696685288,0.059643616080142875,-8.431756576509503
0.7,1.0,25,multiplicative,10.0,222.11247172837153,14.903438251905884,12.293849662316983,0.06479236040675637,-10.584905837986252
0.7,1.0,50,additive,0.01,47.24097939411083,6.8732073585852795,5.790510261763099,0.03127353093910405,-1.463987248065529
0.7,1.0,50,additive,0.1,119.66758708442025,10.93926812380153,10.28670536377556,0.05512115308768596,-5.241602362281688
0.7,1.0,50,additive,1.0,122.83328236738383,11.083017746416534,10.43055314174527,0.055877302246874296,-5.40671817716371
0.7,1.0,50,additive,10.0,112.76368961134239,10.61902488985417,9.928644089649612,0.05321529131427617,-4.8815100112383405
0.7,1.0,50,multiplicative,0.01,30.83273661479052,5.55272335118458,4.789617656769384,0.025753622294097014,-0.6081688147912898
0.7,1.0,50,multiplicative,0.1,37.50665280687723,6.12426753227496,5.25258153793825,0.028315150904451802,-0.9562658399348816
0.7,1.0,50,multiplicative,1.0,45.11323356833799,6.71663856168679,5.637491958393647,0.03043715381756028,-1.353008630579827
0.7,1.0,50,multiplicative,10.0,46.71666482004705,6.834959021094936,5.760576769348075,0.031108132469851675,-1.4366401345840263
0.7,10.0,10,additive,0.01,82.21945108259098,9.067494200857864,8.131240991228387,0.04360021175319924,-3.288388632258262
0.7,10.0,10,additive,0.1,551.3503550568108,23.480850816288807,22.621422038419535,0.12050285372841398,-27.757241308289636
0.7,10.0,10,additive,1.0,503.43815620549407,22.437427575493007,21.594963226414148,0.11505466858963276,-25.258244705963875
0.7,10.0,10,additive,10.0,501.98471584531814,22.405015417207775,21.566673385275212,0.11490534651310232,-25.18243640225746
