ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-29,187.4275989785844,190.75411986411365,202.318443730531,185.55476442532787,189.34467062756428,9.249645349415536,9.249645349415536,9.249645349415536,2.360639145272827,2.360639145272827,2.360639145272827,0.1609066514392284,0.1609066514392284,0.1609066514392284,6.728099552703478,6.728099552703478,6.728099552703478,0.0,0.0,0.0,196.67724432799994
2024-01-30,187.4653617065935,191.10085280421413,203.36846034180496,185.35354268815735,189.6894112427833,9.664452169324155,9.664452169324155,9.664452169324155,2.360639145272827,2.360639145272827,2.360639145272827,0.14327975862246084,0.14327975862246084,0.14327975862246084,7.160533265428867,7.160533265428867,7.160533265428867,0.0,0.0,0.0,197.12981387591768
2024-01-31,187.50312443460265,191.286229441804,204.1624042262872,185.17363035046628,189.88457679873264,10.088129857817032,10.088129857817032,10.088129857817032,2.3606391452728275,2.3606391452728275,2.3606391452728275,0.15066952434566053,0.15066952434566053,0.15066952434566053,7.5768211881985446,7.5768211881985446,7.5768211881985446,0.0,0.0,0.0,197.59125429241968
2024-02-01,187.54088716261177,191.18682613303827,204.36750589846986,185.0220167236712,190.10301145535516,10.33201537315881,10.33201537315881,10.33201537315881,2.360639145272827,2.360639145272827,2.360639145272827,0.0035525917372055695,0.0035525917372055695,0.0035525917372055695,7.967823636148776,7.967823636148776,7.967823636148776,0.0,0.0,0.0,197.87290253577058
2024-02-02,187.57864989062088,191.61303891692432,204.46468312386833,184.81498942185758,190.3530451105155,10.816916064248906,10.816916064248906,10.816916064248906,2.360639145272827,2.360639145272827,2.360639145272827,0.13175222946499124,0.13175222946499124,0.13175222946499124,8.324524689511088,8.324524689511088,8.324524689511088,0.0,0.0,0.0,198.3955659548698
2024-02-05,187.69193807464822,192.71188195617185,205.56736641318804,184.6646729688332,190.70759483259872,11.626068494960789,11.626068494960789,11.626068494960789,2.360639145272827,2.360639145272827,2.360639145272827,0.1609066514390359,0.1609066514390359,0.1609066514390359,9.104522698248923,9.104522698248923,9.104522698248923,0.0,0.0,0.0,199.318006569609
2024-02-06,187.72970080265733,192.3295971272998,206.31665191405295,184.39185230742834,191.14642321891756,11.746880939927271,11.746880939927271,11.746880939927271,2.360639145272827,2.360639145272827,2.360639145272827,0.14327975862228623,0.14327975862228623,0.14327975862228623,9.242962036032155,9.242962036032155,9.242962036032155,0.0,0.0,0.0,199.4765817425846
2024-02-07,187.76746353066645,192.65260213320647,206.79842389459967,184.08742599999687,191.5288015404714,11.821713891350337,11.821713891350337,11.821713891350337,2.3606391452728275,2.3606391452728275,2.3606391452728275,0.15066952434560582,0.15066952434560582,0.15066952434560582,9.310405221731903,9.310405221731903,9.310405221731903,0.0,0.0,0.0,199.58917742201677
2024-02-08,187.80522625867556,191.97286676705806,206.1352403860546,183.78718315000302,191.80972049970546,11.666552593068,11.666552593068,11.666552593068,2.360639145272827,2.360639145272827,2.360639145272827,0.003552591737107496,0.003552591737107496,0.003552591737107496,9.302360856058064,9.302360856058064,9.302360856058064,0.0,0.0,0.0,199.47177885174355
2024-02-09,187.84298898668467,192.19060732556855,207.14730146972684,183.48836101929325,192.06500612290452,11.7079892423119,11.7079892423119,11.7079892423119,2.360639145272827,2.360639145272827,2.360639145272827,0.13175222946563106,0.13175222946563106,0.13175222946563106,9.215597867573443,9.215597867573443,9.215597867573443,0.0,0.0,0.0,199.55097822899657
2024-02-12,187.956277170712,191.79314853096346,206.2552539199644,183.35383224967416,192.65930494104288,10.992768071325118,10.992768071325118,10.992768071325118,2.360639145272827,2.360639145272827,2.360639145272827,0.1609066514400212,0.1609066514400212,0.1609066514400212,8.471222274612268,8.471222274612268,8.471222274612268,0.0,0.0,0.0,198.94904524203713
2024-02-13,187.99403989872116,190.66238014137937,206.04366666654082,183.10927045387598,193.04574066176372,10.56884971992778,10.56884971992778,10.56884971992778,2.360639145272827,2.360639145272827,2.360639145272827,0.14327975862211167,0.14327975862211167,0.14327975862211167,8.06493081603284,8.06493081603284,8.06493081603284,0.0,0.0,0.0,198.56288961864894
2024-02-14,188.03180262673024,189.85787854299562,206.10938503879146,182.95684912675068,193.25256853462253,10.096020726187064,10.096020726187064,10.096020726187064,2.3606391452728275,2.3606391452728275,2.3606391452728275,0.15066952434547243,0.15066952434547243,0.15066952434547243,7.5847120565687645,7.5847120565687645,7.5847120565687645,0.0,0.0,0.0,198.1278233529173
2024-02-15,188.06956535473935,188.85571444848338,205.33929231989907,182.71978501815548,193.45946612601412,9.399899493060381,9.399899493060381,9.399899493060381,2.360639145272827,2.360639145272827,2.360639145272827,0.003552591737238175,0.003552591737238175,0.003552591737238175,7.035707756050315,7.035707756050315,7.035707756050315,0.0,0.0,0.0,197.46946484779974
2024-02-16,188.1073280827485,189.27644218956777,204.97687985578077,182.36883501098677,193.8790301767459,8.916704070147574,8.916704070147574,8.916704070147574,2.360639145272827,2.360639145272827,2.360639145272827,0.13175222946584342,0.13175222946584342,0.13175222946584342,6.4243126954089025,6.4243126954089025,6.4243126954089025,0.0,0.0,0.0,197.02403215289607
2024-02-19,188.22061626677583,186.3742692798977,203.58582237285245,182.11548562697075,194.38335990504285,6.817453367825576,6.817453367825576,6.817453367825576,2.360639145272827,2.360639145272827,2.360639145272827,0.1609066514398287,0.1609066514398287,0.1609066514398287,4.295907571112919,4.295907571112919,4.295907571112919,0.0,0.0,0.0,195.0380696346014
2024-02-20,188.25837899478495,185.58981559927273,202.25540645244297,181.86955268084492,194.80062392719898,6.023303974384798,6.023303974384798,6.023303974384798,2.3606391452728275,2.3606391452728275,2.3606391452728275,0.14327975862243414,0.14327975862243414,0.14327975862243414,3.5193850704895366,3.5193850704895366,3.5193850704895366,0.0,0.0,0.0,194.28168296916974
2024-02-21,188.2961417227941,184.71362459636512,201.96270304864396,181.60048756943291,195.21894370517214,5.2376855427595155,5.2376855427595155,5.2376855427595155,2.3606391452728275,2.3606391452728275,2.3606391452728275,0.15066952434533906,0.15066952434533906,0.15066952434533906,2.726376873141349,2.726376873141349,2.726376873141349,0.0,0.0,0.0,193.5338272655536
2024-02-22,188.3339044508032,183.83345039187867,201.06793971105623,181.31534999958652,195.6725352010167,4.291809079136284,4.291809079136284,4.291809079136284,2.360639145272827,2.360639145272827,2.360639145272827,0.003552591737140112,0.003552591737140112,0.003552591737140112,1.9276173421263165,1.9276173421263165,1.9276173421263165,0.0,0.0,0.0,192.62571352993947
2024-02-23,188.3716671788123,183.26129412775103,202.02212433813648,180.96738990324397,196.08208507333504,3.6262859524345816,3.6262859524345816,3.6262859524345816,2.360639145272827,2.360639145272827,2.360639145272827,0.13175222946507417,0.13175222946507417,0.13175222946507417,1.13389457769668,1.13389457769668,1.13389457769668,0.0,0.0,0.0,191.99795313124687
2024-02-26,188.48495536283966,180.67404115273285,199.65592037157964,180.8361099920891,196.4624007473154,1.4089011128939966,1.4089011128939966,1.4089011128939966,2.360639145272827,2.360639145272827,2.360639145272827,0.16090665144022506,0.16090665144022506,0.16090665144022506,-1.1126446838190556,-1.1126446838190556,-1.1126446838190556,0.0,0.0,0.0,189.89385647573366
2024-02-27,188.52271809084874,179.3732840209196,199.5170522711436,180.65788544193123,196.68343755956298,0.7195929902267743,0.7195929902267743,0.7195929902267743,2.3606391452728275,2.3606391452728275,2.3606391452728275,0.14327975862263,0.14327975862263,0.14327975862263,-1.784325913668683,-1.784325913668683,-1.784325913668683,0.0,0.0,0.0,189.2423110810755
2024-02-28,188.56048081885785,178.19592202098633,198.16557397853504,180.47368463611582,197.17215969688507,0.10815385434545934,0.10815385434545934,0.10815385434545934,2.360639145272827,2.360639145272827,2.360639145272827,0.15066952434576297,0.15066952434576297,0.15066952434576297,-2.403154815273131,-2.403154815273131,-2.403154815273131,0.0,0.0,0.0,188.66863467320331
2024-02-29,188.598243546867,177.30830621895245,199.15521156550736,180.19741718100113,197.61891932613523,-0.5978231220001544,-0.5978231220001544,-0.5978231220001544,2.360639145272827,2.360639145272827,2.360639145272827,0.003552591737270791,0.003552591737270791,0.003552591737270791,-2.962014859010252,-2.962014859010252,-2.962014859010252,0.0,0.0,0.0,188.00042042486683
