changepoint_prior_scale,holidays_prior_scale,n_changepoints,seasonality_mode,seasonality_prior_scale,mse,rmse,mae,mape,r2
0.7,0.1,50,multiplicative,1.0,61.24988932913164,7.826230850743648,6.71514627783873,0.03623008822491669,-2.194661672726014
0.7,0.1,50,multiplicative,10.0,97.69225039492176,9.883939012100477,9.114635265236123,0.04890823867360018,-4.095416358745509
0.7,1.0,10,additive,0.01,94.4279635759052,9.717405187389543,8.79971133725926,0.04714254436566014,-3.9251582227110164
0.7,1.0,10,additive,0.1,589.8294580794873,24.28640479938287,23.36484289304542,0.1244398096365369,-29.764228046940822
0.7,1.0,10,additive,1.0,529.2011532802018,23.00437248177402,22.113693463234018,0.11780072685739358,-26.601986878081984
0.7,1.0,10,additive,10.0,571.9741750781156,23.915981582994156,23.007072084155332,0.12254247935094795,-28.832935127313814
0.7,1.0,10,multiplicative,0.01,46.6187751394285,6.827794309982434,5.432811153506445,0.029273434809431342,-1.4315344206920875
0.7,1.0,10,multiplicative,0.1,406.1843392149665,20.154015461316053,19.100322254449782,0.10178575660133785,-20.185696084750663
0.7,1.0,10,multiplicative,1.0,665.7292658432339,25.80172990020696,24.553724661405447,0.13070404569043545,-33.722997760419936
0.7,1.0,10,multiplicative,10.0,561.0235423876743,23.685935539633522,22.523553226241834,0.11994024850906694,-28.261773825123274
0.7,1.0,25,additive,0.01,87.08393017253546,9.331877098019211,8.019312077525083,0.043327254197753004,-3.5421093340690897
0.7,1.0,25,additive,0.1,74.0479181726677,8.605110003519288,7.159607393702815,0.038705491981409504,-2.8621791601974707
0.7,1.0,25,additive,1.0,72.52951274293594,8.516426054568662,7.131188107533383,0.03852981400252062,-2.782982419057955
0.7,1.0,25,additive,10.0,79.00078179791733,8.88823839677567,7.418752173048517,0.04012862703019051,-3.120509808091363
0.7,1.0,25,multiplicative,0.01,66.52600884036931,8.156347763574658,6.870071713429948,0.03713126063009601,-2.469852648054946
0.7,1.0,25,multiplicative,0.1,98.56483162862646,9.927982253641797,8.851732234589088,0.0468375816985081,-4.14092830748842
0.7,1.0,25,multiplicative,1.0,175.4882822675289,13.247199034797088,11.071100619654434,0.05838099756883717,-8.15308901800667
0.7,1.0,25,multiplicative,10.0,259.59115212462086,16.11183267429937,12.999231183149195,0.0684338924013416,-12.539712697519608
0.7,1.0,50,additive,0.01,44.30713513081404,6.656360501866921,5.59106223642741,0.030197295691579678,-1.3109642806061652
0.7,1.0,50,additive,0.1,103.4088549238963,10.169014451946477,9.440406660975029,0.050622861856529165,-4.39358207931867
0.7,1.0,50,additive,1.0,112.5807204357862,10.610406233306348,9.90850974886204,0.05310224146649874,-4.871966735016262
0.7,1.0,50,additive,10.0,109.0447510721119,10.442449476636787,9.720432057264958,0.052104033181692454,-4.687538225417454
0.7,1.0,50,multiplicative,0.01,30.47778430601486,5.520668827779372,4.775601834289814,0.025679840236446153,-0.5896552705398412
0.7,1.0,50,multiplicative,0.1,35.68493522959432,5.97368690421538,5.13419990828194,0.027673622174254134,-0.8612489935957162
0.7,1.0,50,multiplicative,1.0,60.14618851866205,7.755397379803439,6.628834831750377,0.03576476954627296,-2.137095027039247
0.7,1.0,50,multiplicative,10.0,56.774396334386104,7.534878654257552,6.382396984515504,0.0344478783832,-1.9612296438118477
0.7,10.0,10,additive,0.01,85.87255557744135,9.266744605169679,8.315856860671095,0.044573226804201414,-3.4789266567998167
0.7,10.0,10,additive,0.1,470.05877605830113,21.68083891500283,20.822193634149578,0.11094821793594929,-23.517248475871572
0.7,10.0,10,additive,1.0,595.9733566907149,24.41256554913299,23.482147453699707,0.1250605836673125,-30.0846805021107
0.7,10.0,10,additive,10.0,577.7248905415084,24.035908356904436,23.12043209778698,0.12314315189637275,-29.132880000404647
0.7,10.0,10,multiplicative,0.01,46.90969465861155,6.849065239768968,5.453383126373431,0.029383226295228885,-1.446708153215714
0.7,10.0,10,multiplicative,0.1,388.9134031055983,19.72088748270722,18.678498997653502,0.09954852259018196,-19.284881434389227
0.7,10.0,10,multiplicative,1.0,656.0598461840451,25.61366522354903,24.37586468693431,0.12976176084223884,-33.218661757187
0.7,10.0,10,multiplicative,10.0,695.521742977656,26.372746216077992,25.110696268586917,0.13366009623292457,-35.276908892005224
0.7,10.0,25,additive,0.01,84.5355996227168,9.194324315724174,7.896635781173689,0.04266515060332363,-3.409193927590625
0.7,10.0,25,additive,0.1,73.93339551982575,8.598453088772755,7.153219964609594,0.038675038307893816,-2.8562059064708047
0.7,10.0,25,additive,1.0,68.17385385403043,8.256745960366615,7.030434090067251,0.03792352851597877,-2.5558006777639894
0.7,10.0,25,additive,10.0,79.35777902614838,8.90829832381855,7.437629732737934,0.040231729208661554,-3.139130010916067
0.7,10.0,25,multiplicative,0.01,67.92460890428563,8.241638726872566,6.928647585710219,0.03744932535643118,-2.5428006005917445
0.7,10.0,25,multiplicative,0.1,99.54817545479706,9.977383196750392,8.904248715308364,0.047118948056862175,-4.19221739334616
0.7,10.0,25,multiplicative,1.0,120.87101136234266,10.994135316719667,9.826318110496995,0.05200867667228484,-5.304370368213057
0.7,10.0,25,multiplicative,10.0,188.74877128020273,13.738586946269356,11.40560499161857,0.06012482668492619,-8.84472742706164
0.7,10.0,50,additive,0.01,44.854390180951796,6.697342023590537,5.624403672685829,0.030375187546777965,-1.33950791967278
0.7,10.0,50,additive,0.1,102.12226659045089,10.105556223704408,9.380546558231568,0.05030587390944887,-4.326476416231707
0.7,10.0,50,additive,1.0,113.395311246447,10.648723456191686,9.964494628848426,0.05339946522438225,-4.9144540287938705
0.7,10.0,50,additive,10.0,115.18494138087041,10.732424767072462,10.04573585438964,0.053831130644795465,-5.00779726355591
0.7,10.0,50,multiplicative,0.01,33.05996978921259,5.749779977461102,4.943619765591321,0.0266202788542487,-0.7243364770757983
0.7,10.0,50,multiplicative,0.1,35.932630858656495,5.994383275922261,5.150792589878211,0.02775996534798779,-0.8741682615541373
0.7,10.0,50,multiplicative,1.0,55.48486563780755,7.448816391736847,6.28713640393666,0.03394273181201522,-1.8939705134316105
0.7,10.0,50,multiplicative,10.0,52.32966958220684,7.233924908526964,6.0766435505906236,0.03281604707260946,-1.7294023155268063
0.3,0.01,10,additive,0.01,71.65343556940691,8.464835235809785,7.4406287877159984,0.03993458051068855,-2.7372881296595883
0.3,0.01,10,additive,0.1,261.6520477825286,16.175662205379062,15.384102228392035,0.08209077447415464,-12.647204554924059
0.3,0.01,10,additive,1.0,266.9102370021989,16.337387704348544,15.551760658816166,0.08298264064832155,-12.921460325048894
0.3,0.01,10,additive,10.0,258.43128600395306,16.075798145160725,15.289083848997867,0.08158806180276962,-12.47921659080373
0.3,0.01,10,multiplicative,0.01,45.10003734015399,6.7156561362352365,5.35181628484702,0.02884355640577034,-1.3523203438765252
0.3,0.01,10,multiplicative,0.1,332.8810703702496,18.245028648107123,17.2593549014913,0.09203389174399576,-16.362356221957345
0.3,0.01,10,multiplicative,1.0,474.0819527614526,21.773423083232746,20.710204137543418,0.11034136321278783,-23.727088665901913
0.3,0.01,10,multiplicative,10.0,618.8024693796674,24.875740579521796,23.718849018858858,0.1262995025353583,-31.275397614068844
0.3,0.01,25,additive,0.01,50.1270882374844,7.080048604175285,6.021499646789863,0.03252481186744289,-1.614520439328878
0.3,0.01,25,additive,0.1,55.08558298496025,7.421966247899558,6.291495580171766,0.03399553120802007,-1.8731447943714299
0.3,0.01,25,additive,1.0,60.71491305396421,7.7919774803296376,6.588146051754781,0.03560640530523796,-2.1667584679885934
0.3,0.01,25,additive,10.0,52.26423643076727,7.229400834838754,6.146149036987442,0.03320070249147488,-1.7259894639556568
0.3,0.01,25,multiplicative,0.01,44.246671336016185,6.651817145413438,5.783619015475624,0.0311549049277074,-1.3078106199229542
0.3,0.01,25,multiplicative,0.1,48.095633359610474,6.935101539242989,6.222994541520305,0.03306274445441287,-1.508564149296376
0.3,0.01,25,multiplicative,1.0,145.7937192060421,12.074506996397083,10.15903205851848,0.05358588381952855,-6.6042848725637775
0.3,0.01,25,multiplicative,10.0,184.48692812386795,13.582596516272872,11.169100828544485,0.05884288976359845,-8.622438911346123
0.3,0.01,50,additive,0.01,36.58224192392659,6.048325547118524,5.08151655286287,0.027412540655915713,-0.9080505688550589
0.3,0.01,50,additive,0.1,100.87713381409405,10.043760939712477,9.234322155522868,0.04950932916753731,-4.261532985285944
0.3,0.01,50,additive,1.0,110.6406931739489,10.518587983847874,9.746308769825257,0.05222398841034661,-4.77077911157206
0.3,0.01,50,additive,10.0,105.21812974638058,10.257588885619299,9.462692997136875,0.05071972089993468,-4.487949938495676
0.3,0.01,50,multiplicative,0.01,28.884973612812722,5.374474263852486,4.587085530987531,0.02464607165296106,-0.5065777118827541
0.3,0.01,50,multiplicative,0.1,35.51712647777473,5.95962469269456,5.034570487815108,0.02712631923055247,-0.8524964522661265
0.3,0.01,50,multiplicative,1.0,34.24143729655033,5.851618348504141,5.0404038832313365,0.02715097071873619,-0.78595926537148
0.3,0.01,50,multiplicative,10.0,35.624898320491944,5.9686596753787144,5.138753301981353,0.027695692158122058,-0.8581175983465319
0.3,0.1,10,additive,0.01,79.41096626963184,8.911283087728266,7.922976541510844,0.04248233736930682,-3.141904142430355
0.3,0.1,10,additive,0.1,255.40326530462139,15.981341161010905,15.171210717582312,0.08094894281019929,-12.32128158425385
0.3,0.1,10,additive,1.0,261.63814045657887,16.175232315382022,15.370179796295531,0.0820073803293549,-12.646479178900227
0.3,0.1,10,additive,10.0,255.84083087127743,15.995025191329878,15.187860311483618,0.08103858835667285,-12.344104057247868
0.3,0.1,10,multiplicative,0.01,47.09173953578774,6.862342131939192,5.464873838789201,0.029443592599149748,-1.4562032200346229
0.3,0.1,10,multiplicative,0.1,329.72675697835393,18.158379800476528,17.14033335821979,0.09138629214944127,-16.19783406188117
0.3,0.1,10,multiplicative,1.0,470.06194541231025,21.680912006009116,20.594541634740658,0.10971586018693369,-23.51741378251769
0.3,0.1,10,multiplicative,10.0,577.1159270821458,24.02323723152535,22.864156534003325,0.12175430205628796,-29.101117784259856
0.3,0.1,25,additive,0.01,47.09789857093651,6.862790873320891,5.83860928879536,0.03153098709335359,-1.4565244619788333
0.3,0.1,25,additive,0.1,58.7276434413062,7.663396338524206,6.472986157269749,0.03498533172257426,-2.063106785765682
0.3,0.1,25,additive,1.0,59.05279454940214,7.684581611864249,6.495406607263011,0.035107981353533824,-2.080065963884302
0.3,0.1,25,additive,10.0,55.11291458308316,7.423807283536068,6.294667768156875,0.03401406269525772,-1.8745703513795156
0.3,0.1,25,multiplicative,0.01,36.946956961339,6.07840085559837,5.39645816979554,0.028966380829605638,-0.9270733159040743
0.3,0.1,25,multiplicative,0.1,61.12227955146632,7.818073902916646,6.890776704084159,0.03646622404583845,-2.1880058228912196
0.3,0.1,25,multiplicative,1.0,128.63800350196456,11.34186948884374,9.736970040864495,0.05141083501779685,-5.7094798691866835
0.3,0.1,25,multiplicative,10.0,176.58005731120704,13.288342910656958,11.010508368995037,0.05803019377366595,-8.210033641506888
0.3,0.1,50,additive,0.01,39.373570826121764,6.274836318671728,5.2265522013922565,0.028212683246045096,-1.0536402435056882
0.3,0.1,50,additive,0.1,104.6018445628864,10.227504317422037,9.43960759485945,0.05059825532253974,-4.45580583706558
0.3,0.1,50,additive,1.0,106.67277142890994,10.32825113118915,9.549615855672949,0.05118279918451839,-4.56382090057619
0.3,0.1,50,additive,10.0,90.77043260217954,9.527351814758367,8.676168016298755,0.04654856040336616,-3.7343893226109435
0.3,0.1,50,multiplicative,0.01,28.545512197612712,5.342800033466788,4.590590378088181,0.024655335020590467,-0.4888721391154085
0.3,0.1,50,multiplicative,0.1,36.442802944542656,6.036787468889613,5.099062296923912,0.027479745785009085,-0.9007777334589302
0.3,0.1,50,multiplicative,1.0,39.10028341144692,6.25302194234491,5.330310525251862,0.02875599820542256,-1.0393861633944792
0.3,0.1,50,multiplicative,10.0,55.310019981213436,7.437070658613742,6.2884039792846504,0.03398249172592388,-1.884850942377983
0.3,1.0,10,additive,0.01,76.57174694729763,8.75052838103492,7.750674697258763,0.04156793341633822,-2.9938166071078998
0.3,1.0,10,additive,0.1,263.3786021961402,16.228943348109272,15.416137621924051,0.0822482775444176,-12.737257896594627
0.3,1.0,10,additive,1.0,265.65353323752487,16.298881349268264,15.488404362745728,0.0826325956776978,-12.855913376393998
0.3,1.0,10,additive,10.0,265.46678774553914,16.29315155964429,15.482351721022816,0.08260013869578282,-12.846173135679512
0.3,1.0,10,multiplicative,0.01,43.994708494703396,6.6328507064989335,5.254715111365094,0.02831385349405265,-1.29466878340848
0.3,1.0,10,multiplicative,0.1,335.26314672335945,18.31019242726191,17.297414591924486,0.09222101649115653,-16.486600169336487
0.3,1.0,10,multiplicative,1.0,481.68270248623725,21.94727095759829,20.83738633018879,0.11099675035509932,-24.123527322293135
0.3,1.0,10,multiplicative,10.0,598.555373272928,24.46539133700763,23.279053021850654,0.12394802716809787,-30.219352899136833
