ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021. 3. 30 오전 12:00:00,123.5324252,122.6990075,132.9747857,123.5324252,123.5324252,4.649548327,4.649548327,4.649548327,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,2.145629423,2.145629423,2.145629423,0,0,0,128.1819736
2021. 4. 5 오전 12:00:00,123.9899131,123.9385501,134.7750166,123.9899131,123.9899131,5.473008527,5.473008527,5.473008527,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,2.951462731,2.951462731,2.951462731,0,0,0,129.4629216
2021. 4. 6 오전 12:00:00,124.066161,124.479229,135.0831028,124.066161,124.066161,5.535454168,5.535454168,5.535454168,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,3.031535264,3.031535264,3.031535264,0,0,0,129.6016152
2021. 4. 8 오전 12:00:00,124.218657,124.2100914,135.2212312,124.218657,124.218657,5.526134293,5.526134293,5.526134293,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,3.161942556,3.161942556,3.161942556,0,0,0,129.7447913
2021. 4. 9 오전 12:00:00,124.294905,124.3287289,135.4807091,124.294905,124.294905,5.707089342,5.707089342,5.707089342,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,3.214697968,3.214697968,3.214697968,0,0,0,130.0019943
2021. 4. 12 오전 12:00:00,124.5236489,125.0388083,135.7897918,124.5236489,124.5236489,5.850753783,5.850753783,5.850753783,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,3.329207986,3.329207986,3.329207986,0,0,0,130.3744027
2021. 4. 13 오전 12:00:00,124.5998969,124.8898323,135.3885382,124.5998969,124.5998969,5.855865696,5.855865696,5.855865696,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,3.351946792,3.351946792,3.351946792,0,0,0,130.4557626
2021. 4. 15 오전 12:00:00,124.7523928,124.8587314,135.4149505,124.7523928,124.7523928,5.732614775,5.732614775,5.732614775,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,3.368423038,3.368423038,3.368423038,0,0,0,130.4850076
2021. 4. 16 오전 12:00:00,124.8286408,125.5827078,136.0254048,124.8286408,124.8286408,5.851369918,5.851369918,5.851369918,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,3.358978543,3.358978543,3.358978543,0,0,0,130.6800107
2021. 4. 19 오전 12:00:00,125.0573847,125.4464387,136.3736429,125.0573847,125.0573847,5.757634415,5.757634415,5.757634415,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,3.236088618,3.236088618,3.236088618,0,0,0,130.8150191
2021. 4. 22 오전 12:00:00,125.2861287,125.1346085,136.913816,125.2861287,125.2861287,5.29104721,5.29104721,5.29104721,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,2.926855473,2.926855473,2.926855473,0,0,0,130.5771759
2021. 4. 23 오전 12:00:00,125.3623766,125.0360095,136.0115867,125.3623766,125.3623766,5.265993464,5.265993464,5.265993464,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,2.77360209,2.77360209,2.77360209,0,0,0,130.6283701
2021. 4. 26 오전 12:00:00,125.5911206,125.0064841,135.9171439,125.5911206,125.5911206,4.669401749,4.669401749,4.669401749,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,2.147855952,2.147855952,2.147855952,0,0,0,130.2605223
2021. 5. 5 오전 12:00:00,126.2773525,121.8640283,133.1853105,126.2773525,126.2773525,1.511853146,1.511853146,1.511853146,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-0.9994555234,-0.9994555234,-0.9994555234,0,0,0,127.7892056
2021. 5. 6 오전 12:00:00,126.3536005,122.0120017,132.768477,126.3536005,126.3536005,0.9589166471,0.9589166471,0.9589166471,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,-1.40527509,-1.40527509,-1.40527509,0,0,0,127.3125171
2021. 5. 10 오전 12:00:00,126.6585924,120.609432,131.9303238,126.6585924,126.6585924,-0.413197527,-0.413197527,-0.413197527,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,-2.934743324,-2.934743324,-2.934743324,0,0,0,126.2453949
2021. 5. 12 오전 12:00:00,126.8110884,120.0431164,131.2810714,126.8110884,126.8110884,-1.067126536,-1.067126536,-1.067126536,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-3.578435205,-3.578435205,-3.578435205,0,0,0,125.7439618
2021. 5. 13 오전 12:00:00,126.8873364,119.8904177,131.1509667,126.8873364,126.8873364,-1.491655976,-1.491655976,-1.491655976,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,-3.855847713,-3.855847713,-3.855847713,0,0,0,125.3956804
2021. 5. 19 오전 12:00:00,127.3448243,119.624422,130.3219375,127.3448243,127.3448243,-2.23795523,-2.23795523,-2.23795523,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-4.7492639,-4.7492639,-4.7492639,0,0,0,125.106869
2021. 5. 20 오전 12:00:00,127.4210723,119.528782,130.5867154,127.4210723,127.4210723,-2.398822389,-2.398822389,-2.398822389,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,-4.763014126,-4.763014126,-4.763014126,0,0,0,125.0222499
2021. 5. 26 오전 12:00:00,128.0538866,120.4803143,132.0323888,128.0538866,128.0538866,-1.667514691,-1.667514691,-1.667514691,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-4.17882336,-4.17882336,-4.17882336,0,0,0,126.3863719
2021. 5. 27 오전 12:00:00,128.1651999,121.2358058,132.1387315,128.1651999,128.1651999,-1.637870731,-1.637870731,-1.637870731,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,-4.002062469,-4.002062469,-4.002062469,0,0,0,126.5273291
2021. 6. 1 오전 12:00:00,128.7217662,122.7402995,133.4654345,128.7217662,128.7217662,-0.5166065977,-0.5166065977,-0.5166065977,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,-3.020525502,-3.020525502,-3.020525502,0,0,0,128.2051597
2021. 6. 2 오전 12:00:00,128.8330795,122.754161,133.8665196,128.8330795,128.8330795,-0.3197355646,-0.3197355646,-0.3197355646,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-2.831044234,-2.831044234,-2.831044234,0,0,0,128.513344
2021. 6. 8 오전 12:00:00,129.5009592,124.8656225,135.3699173,129.5009592,129.5009592,0.5587833735,0.5587833735,0.5587833735,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,-1.94513553,-1.94513553,-1.94513553,0,0,0,130.0597425
