ds,yhat,yhat_lower,yhat_upper,Close,model
2022-11-17,145.98446564238046,141.65926440071465,150.13161715862128,150.72000122070312,prophet
2022-11-18,146.1891177121285,141.7107605192221,150.5565349444979,151.2899932861328,prophet
2022-11-21,146.12584416756417,141.86326490463156,150.5868661978417,148.00999450683594,prophet
2022-11-22,146.27291940473276,141.7675311037575,150.632864815961,150.17999267578125,prophet
2022-11-23,147.95369444482344,143.61228820789054,152.3454432793283,151.07000732421875,prophet
2022-11-25,144.44289558773707,140.0459377394587,148.58057132445876,148.11000061035156,prophet
2022-11-28,145.52039082151168,141.01304473638967,149.91354947018928,144.22000122070312,prophet
2022-11-29,145.48926171857582,140.88408935807576,150.25964171378163,141.1699981689453,prophet
2022-11-30,145.21029509719932,140.37661731103228,149.73948789335657,148.02999877929688,prophet
2022-12-01,144.80735745981667,140.73198244381967,149.65302831884378,148.30999755859375,prophet
2022-12-02,144.68623493972282,140.28211902894316,149.19329112442105,147.80999755859375,prophet
2022-12-05,143.6017396631733,139.25558153262173,148.0462258463985,146.6300048828125,prophet
2022-12-06,143.39277179745898,139.02768256570707,147.91617513416296,142.91000366210938,prophet
2022-12-07,142.95028307362804,138.77830368036823,147.38315811217876,140.94000244140625,prophet
2022-12-08,142.40802191508027,137.96608037271344,147.0677394758321,142.64999389648438,prophet
2022-12-09,142.15175789103432,137.55510223421672,146.7514062789501,142.16000366210938,prophet
2022-12-12,140.73804836537192,136.18323506316963,145.5832898159555,144.49000549316406,prophet
2022-12-13,140.43370176303864,135.82237684593753,145.0922703939257,145.47000122070312,prophet
2022-12-14,139.90787912462773,135.7121041759231,144.7239656781892,143.2100067138672,prophet
2022-12-15,139.2898303237433,134.70324398766468,143.9321195406789,136.5,prophet
2022-12-16,138.95499569498466,134.32746914247116,143.39476121011273,134.50999450683594,prophet
2022-12-19,137.94165518201822,133.12609083119872,142.21890375993644,132.3699951171875,prophet
2022-12-20,137.7630443128248,133.09567650377667,141.9415669068777,132.3000030517578,prophet
2022-12-21,137.36193711871945,133.100873433109,141.78844971549162,135.4499969482422,prophet
2022-12-22,136.86375220425606,132.36775113464955,141.47194683077393,132.22999572753906,prophet
2022-12-23,136.63809174112802,132.02120165158453,141.06685785367048,131.86000061035156,prophet
2022-12-27,130.02485508003716,125.67582446804983,134.8461234411309,130.02999877929688,prophet
2022-12-28,134.4749191037022,129.98322743158786,138.8551432851647,126.04000091552734,prophet
2022-12-29,133.85249494479845,129.45084677129807,138.7715161348709,129.61000061035156,prophet
2022-12-30,133.49935091471923,129.0258543660872,138.0753406151215,129.92999267578125,prophet
2023-01-03,125.06584701073756,120.43865083013021,129.71864949496165,125.06999969482422,prophet
2023-01-04,130.81615877101237,126.38772542568242,135.3300115658396,126.36000061035156,prophet
2023-01-05,130.13556108926605,125.54966589483433,134.21291049043845,125.0199966430664,prophet
2023-01-06,130.48983623696682,126.25063811570462,135.0902364958565,129.6199951171875,prophet
2023-01-09,131.07488726805565,126.72102380897357,135.86189403483937,130.14999389648438,prophet
2023-01-10,131.4902930493354,127.08252911848649,135.62151112519715,130.72999572753906,prophet
2023-01-11,131.72810580250302,127.34143544973912,136.11486464169568,133.49000549316406,prophet
2023-01-12,131.9165043497349,126.99929120250569,136.38255175211813,133.41000366210938,prophet
2023-01-13,132.43196365132096,127.92552376337346,136.70259561254537,134.75999450683594,prophet
2023-01-17,134.10619415608565,129.2801013931281,138.46101585463566,135.94000244140625,prophet
2023-01-18,134.93278161487171,130.21534306492953,139.2847103018858,135.2100067138672,prophet
2023-01-19,135.44450992379404,130.95307978168574,139.74150095331507,135.27000427246094,prophet
2023-01-20,136.30521546988166,131.86563658650147,140.7393528939797,137.8699951171875,prophet
2023-01-23,138.60461403166556,134.601986294723,143.2446545226324,141.11000061035156,prophet
2023-01-24,139.64636297285716,134.76675551508362,144.1453870186999,142.52999877929688,prophet
2023-01-25,140.50463078033508,135.79278697520613,145.159456715472,141.86000061035156,prophet
2023-01-26,141.3026001517914,136.87990215081678,145.58816031138866,143.9600067138672,prophet
2023-01-27,142.42430029947678,137.8332679553844,147.05749580349686,145.92999267578125,prophet
2023-01-30,145.2318957421361,140.3696024263807,149.84359723151772,143.0,prophet
2023-01-31,146.34357421657296,142.0590799654276,150.95510374413172,144.2899932861328,prophet
2023-02-01,147.2073309022695,142.74315296079436,151.84870357287267,145.42999267578125,prophet
2023-02-02,147.94710877590802,143.6230356430243,152.36775883606973,150.82000732421875,prophet
2023-02-03,148.9553407957228,144.80971093945146,153.7081839661841,154.5,prophet
2023-02-06,151.0335604524618,146.8146260597856,155.29993453877032,151.72999572753906,prophet
2023-02-07,151.78956307263405,147.9062769390646,156.25434541395867,154.64999389648438,prophet
2023-02-08,152.2401140204828,147.90868188868143,156.56172224050687,151.9199981689453,prophet
2023-02-09,152.51821133648397,148.24268211024886,156.62693426501974,150.8699951171875,prophet
2023-02-10,152.9569799571914,148.33729892498476,157.68489839428847,151.00999450683594,prophet
2023-02-13,153.15714424208167,148.53351623220385,157.5598669379328,153.85000610351562,prophet
2023-02-14,153.2701406560687,148.40109937230906,157.76853904738624,153.1999969482422,prophet
2023-02-15,153.07809449417476,148.98478111363437,157.77773530321625,155.3300018310547,prophet
2023-02-16,152.7270406574343,148.34122919776817,156.86584699759368,153.7100067138672,prophet
2023-02-17,152.64405509842783,148.06356907591893,157.15520192330987,152.5500030517578,prophet
2023-02-21,149.99832489149435,145.44638693153183,154.32477483366557,148.47999572753906,prophet
2023-02-22,150.8111910885059,146.48122450154696,155.43322342600766,148.91000366210938,prophet
2023-02-23,150.2494589393962,145.67432168894499,154.6404821491664,149.39999389648438,prophet
2023-02-24,150.03477875169511,145.45601682557623,154.36672995618537,146.7100067138672,prophet
2023-02-27,148.93891252689824,144.31776841691612,153.40581498157042,147.9199981689453,prophet
2023-02-28,148.88326724554116,144.3770771831645,153.47789970080615,147.41000366210938,prophet
2023-03-01,148.4979048110615,144.08642015266588,152.7514114207004,145.30999755859375,prophet
2023-03-02,148.08633125006313,143.80788347914077,152.7579184448194,145.91000366210938,prophet
2023-03-03,148.0894713311737,143.7804792925639,152.6902034015325,151.02999877929688,prophet
2023-03-06,147.93579999293758,143.63769063442786,152.4075381352088,153.8300018310547,prophet
2023-03-07,148.26934620348743,143.99004940113903,152.41451178850807,151.60000610351562,prophet
2023-03-08,148.44096952542634,144.27639068577113,152.88019894738107,152.8699951171875,prophet
2023-03-09,148.59591395362813,143.73680824246952,152.88238312113998,150.58999633789062,prophet
2023-03-10,149.1713352249163,144.93139409952045,153.59654194420725,148.5,prophet
2023-03-13,150.6492979074573,146.31198054189667,155.09557594843955,150.47000122070312,prophet
2023-03-14,151.4773850536508,147.5855419539648,155.44321327355948,152.58999633789062,prophet
2023-03-15,152.10327163369126,147.5852994477973,156.1417444198986,152.99000549316406,prophet
2023-03-16,152.6685853705994,148.36480411194287,157.2568913826132,155.85000610351562,prophet
2023-03-17,153.52190742207358,148.65568316364502,158.14588405595916,155.0,prophet
2023-03-20,155.5117037721734,151.02293156560918,160.20864962018805,157.39999389648438,prophet
2023-03-21,156.4040468200737,151.84341644232637,161.02042038704354,159.27999877929688,prophet
2023-03-22,157.03848317319202,152.58776271274468,161.52325381733766,157.8300018310547,prophet
2023-03-23,157.56029735121436,152.8430898860912,162.17374077341924,158.92999267578125,prophet
2023-03-24,158.41395732913486,154.0256190175361,162.6611182455284,160.25,prophet
2023-03-27,160.15269883607664,155.46701732089718,164.49151946541437,158.27999877929688,prophet
2023-03-28,160.89695670653407,156.44307496116852,165.22438047946403,157.64999389648438,prophet
2023-03-29,161.35714358596485,156.7375787251315,165.66043792430514,160.77000427246094,prophet
2023-03-30,161.68526213410456,157.30073483171208,165.8048357952851,162.36000061035156,prophet
2023-03-31,162.33476771532304,157.81147861380595,166.99109587741634,164.89999389648438,prophet
2023-04-03,163.42727947270546,159.06423157115614,167.76838747688123,166.1699981689453,prophet
2023-04-04,163.96327929819228,159.46185277268762,168.35522933676788,165.6300048828125,prophet
2023-04-05,164.2220487545163,160.01119798027275,168.6919502584532,163.75999450683594,prophet
