ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (observed),Independence Day (observed)_lower,Independence Day (observed)_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Juneteenth National Independence Day (observed),Juneteenth National Independence Day (observed)_lower,Juneteenth National Independence Day (observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (observed),New Year's Day (observed)_lower,New Year's Day (observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (observed),Veterans Day (observed)_lower,Veterans Day (observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2023-05-02,169.58160067714942,165.9616041956771,174.99746841925722,169.58160067714942,169.58160067714942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005073369345084468,0.005073369345084468,0.005073369345084468,0.0034152831047130922,0.0034152831047130922,0.0034152831047130922,0.0016580862403713756,0.0016580862403713756,0.0016580862403713756,0.0,0.0,0.0,170.44195077151522
2023-05-03,169.97443917745875,165.772557254561,174.9425663190256,169.97443917745875,169.97443917745875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028710337153012183,0.0028710337153012183,0.0028710337153012183,0.0029793008258588547,0.0029793008258588547,0.0029793008258588547,-0.00010826711055763596,-0.00010826711055763596,-0.00010826711055763596,0.0,0.0,0.0,170.46244152307665
2023-05-04,170.3672776777681,165.76860164520403,174.5302881406672,170.3672776777681,170.3672776777681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.906887105517497e-05,-2.906887105517497e-05,-2.906887105517497e-05,0.001924771999994227,0.001924771999994227,0.001924771999994227,-0.001953840871049402,-0.001953840871049402,-0.001953840871049402,0.0,0.0,0.0,170.36232529334126
2023-05-05,170.7601161780774,166.13335600372085,175.00021810795693,170.7601161780774,170.7601161780774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000795853568075172,-0.000795853568075172,-0.000795853568075172,0.0030631486556256292,0.0030631486556256292,0.0030631486556256292,-0.003859002223700801,-0.003859002223700801,-0.003859002223700801,0.0,0.0,0.0,170.62421613033214
2023-05-08,171.93863167900528,166.13468166617125,174.83706374746248,171.93863167900528,171.93863167900528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00742194648510845,-0.00742194648510845,-0.00742194648510845,0.0022820459001024157,0.0022820459001024157,0.0022820459001024157,-0.009703992385210867,-0.009703992385210867,-0.009703992385210867,0.0,0.0,0.0,170.66251235596093
2023-05-09,172.3314701477196,166.45034075586153,175.34529160139516,172.3314701477196,172.3314701477196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008196608659192226,-0.008196608659192226,-0.008196608659192226,0.0034152831047165122,0.0034152831047165122,0.0034152831047165122,-0.011611891763908738,-0.011611891763908738,-0.011611891763908738,0.0,0.0,0.0,170.91893652725548
2023-05-10,172.72430861643392,166.2030413600988,175.42154724862087,172.72430861643392,172.72430861643392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010476384016316044,-0.010476384016316044,-0.010476384016316044,0.0029793008258560735,0.0029793008258560735,0.0029793008258560735,-0.013455684842172118,-0.013455684842172118,-0.013455684842172118,0.0,0.0,0.0,170.91478243041547
2023-05-11,173.11714708514825,166.53741451510362,175.4639331097464,173.11714708514825,173.11714708514825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013284119394379741,-0.013284119394379741,-0.013284119394379741,0.0019247719999963987,0.0019247719999963987,0.0019247719999963987,-0.01520889139437614,-0.01520889139437614,-0.01520889139437614,0.0,0.0,0.0,170.81743823405472
2023-05-12,173.50998555386252,166.52294097381798,175.7672284993676,173.50998555386252,173.50998555386252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013782549327240937,-0.013782549327240937,-0.013782549327240937,0.003063148655625591,0.003063148655625591,0.003063148655625591,-0.016845697982866528,-0.016845697982866528,-0.016845697982866528,0.0,0.0,0.0,171.11857561919754
2023-05-15,174.68850096000548,166.87840918112087,175.92326169674317,174.68850096000548,174.68850096000548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018538684570082703,-0.018538684570082703,-0.018538684570082703,0.0022820459000786756,0.0022820459000786756,0.0022820459000786756,-0.020820730470161378,-0.020820730470161378,-0.020820730470161378,0.0,0.0,0.0,171.45000594268737
