ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-03-28,171.49198795837626,166.2937928909236,175.53509414122135,171.49198795837626,171.49198795837626,-0.6546249285626478,-0.6546249285626478,-0.6546249285626478,0.011747368328191591,0.011747368328191591,0.011747368328191591,0.0,0.0,0.0,-0.026307164851386955,-0.026307164851386955,-0.026307164851386955,-0.6400651320394525,-0.6400651320394525,-0.6400651320394525,0.0,0.0,0.0,170.83736302981362
2022-03-29,171.6288991714881,166.67500673876947,175.93375539132816,171.6288991714881,171.6288991714881,-0.21855311231537666,-0.21855311231537666,-0.21855311231537666,0.011747368328192244,0.011747368328192244,0.011747368328192244,0.0,0.0,0.0,0.07052787227400141,0.07052787227400141,0.07052787227400141,-0.3008283529175703,-0.3008283529175703,-0.3008283529175703,0.0,0.0,0.0,171.4103460591727
2022-03-30,171.7658103845999,167.0497873044939,176.40308224019492,171.7658103845999,171.7658103845999,0.08233778047359051,0.08233778047359051,0.08233778047359051,0.011747368328191529,0.011747368328191529,0.011747368328191529,0.0,0.0,0.0,0.054011703400796564,0.054011703400796564,0.054011703400796564,0.016578708744602422,0.016578708744602422,0.016578708744602422,0.0,0.0,0.0,171.84814816507347
2022-03-31,171.90272159771172,167.5254582210399,176.49977492581633,171.90272159771172,171.90272159771172,0.22664047659369244,0.22664047659369244,0.22664047659369244,0.011747368328192181,0.011747368328192181,0.011747368328192181,0.0,0.0,0.0,-0.09775296194810387,-0.09775296194810387,-0.09775296194810387,0.3126460702136042,0.3126460702136042,0.3126460702136042,0.0,0.0,0.0,172.12936207430542
2022-04-01,171.4269417048955,167.22559036154368,176.74078806753909,171.4269417048955,171.4269417048955,0.6024045012855497,0.6024045012855497,0.6024045012855497,0.011747368328191425,0.011747368328191425,0.011747368328191425,0.0,0.0,0.0,0.002455032632894614,0.002455032632894614,0.002455032632894614,0.5882021003244636,0.5882021003244636,0.5882021003244636,0.0,0.0,0.0,172.02934620618106
2022-04-04,169.99960202644684,167.02034444355834,175.86572272655172,169.99960202644684,169.99960202644684,1.2887470222369917,1.2887470222369917,1.2887470222369917,0.011747368328192013,0.011747368328192013,0.011747368328192013,0.0,0.0,0.0,-0.026307164851503678,-0.026307164851503678,-0.026307164851503678,1.3033068187603034,1.3033068187603034,1.3033068187603034,0.0,0.0,0.0,171.28834904868384
2022-04-05,169.52382213363063,166.36012482769547,175.54515810648988,169.52382213363063,169.52382213363063,1.5910537030642746,1.5910537030642746,1.5910537030642746,0.011747368328192667,0.011747368328192667,0.011747368328192667,0.0,0.0,0.0,0.07052787227377338,0.07052787227377338,0.07052787227377338,1.5087784624623082,1.5087784624623082,1.5087784624623082,0.0,0.0,0.0,171.1148758366949
2022-04-06,169.04804224081442,166.3299492971682,175.38478690567783,169.04804224081442,169.04804224081442,1.765642761088467,1.765642761088467,1.765642761088467,0.011747368328191949,0.011747368328191949,0.011747368328191949,0.0,0.0,0.0,0.05401170340055707,0.05401170340055707,0.05401170340055707,1.6998836893597178,1.6998836893597178,1.6998836893597178,0.0,0.0,0.0,170.81368500190288
2022-04-07,168.57226234799822,165.77885758914135,174.68196293281682,168.57226234799822,168.57226234799822,1.7916717294012072,1.7916717294012072,1.7916717294012072,0.011747368328192603,0.011747368328192603,0.011747368328192603,0.0,0.0,0.0,-0.09775296194816473,-0.09775296194816473,-0.09775296194816473,1.877677323021179,1.877677323021179,1.877677323021179,0.0,0.0,0.0,170.36393407739942
2022-04-08,168.096482455182,164.99088336486568,174.5893780668671,168.096482455182,168.096482455182,2.0572008796657526,2.0572008796657526,2.0572008796657526,0.011747368328191846,0.011747368328191846,0.011747368328191846,0.0,0.0,0.0,0.0024550326329681586,0.0024550326329681586,0.0024550326329681586,2.0429984787045927,2.0429984787045927,2.0429984787045927,0.0,0.0,0.0,170.15368333484776
