ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2023-02-07,144.88093302522196,147.11809373628398,156.26090929609384,144.88093302522196,144.88093302522196,0.0,0.0,0.0,0.047419126725993896,0.047419126725993896,0.047419126725993896,0.0031903494159615567,0.0031903494159615567,0.0031903494159615567,0.044228777310032344,0.044228777310032344,0.044228777310032344,0.0,0.0,0.0,151.7510603485252
2023-02-08,145.39688500290052,147.72428082183572,156.31526488987808,145.39688500290052,145.39688500290052,0.0,0.0,0.0,0.04718149767290601,0.04718149767290601,0.04718149767290601,0.00316044531650756,0.00316044531650756,0.00316044531650756,0.04402105235639846,0.04402105235639846,0.04402105235639846,0.0,0.0,0.0,152.25692779431265
2023-02-09,145.9128369805791,148.2349153704409,157.0963130338694,145.9128369805791,145.9128369805791,0.0,0.0,0.0,0.045372793508578264,0.045372793508578264,0.045372793508578264,0.0021263400000034022,0.0021263400000034022,0.0021263400000034022,0.04324645350857486,0.04324645350857486,0.04324645350857486,0.0,0.0,0.0,152.53331000314978
2023-02-10,146.3591179097601,148.46282998980217,157.38534557142296,146.3591179097601,146.3591179097601,0.0,0.0,0.0,0.044522220601295764,0.044522220601295764,0.044522220601295764,0.002624148089143768,0.002624148089143768,0.002624148089143768,0.041898072512151996,0.041898072512151996,0.041898072512151996,0.0,0.0,0.0,152.8753508443495
2023-02-13,147.69796069730336,148.7512759624221,157.6245598198503,147.69796069730336,147.69796069730336,0.0,0.0,0.0,0.03688762320672212,0.03688762320672212,0.03688762320672212,0.0023992437972092688,0.0023992437972092688,0.0023992437972092688,0.034488379409512854,0.034488379409512854,0.034488379409512854,0.0,0.0,0.0,153.14618741990674
2023-02-14,148.14424162648444,148.4724833638364,157.7123781381476,148.14424162648444,148.14424162648444,0.0,0.0,0.0,0.034161781925712766,0.034161781925712766,0.034161781925712766,0.003190349415948416,0.003190349415948416,0.003190349415948416,0.030971432509764352,0.030971432509764352,0.030971432509764352,0.0,0.0,0.0,153.2051129024785
2023-02-15,148.59052255566547,148.2956134907793,157.4903963379933,148.59052255566547,148.59052255566547,0.0,0.0,0.0,0.03015161217940405,0.03015161217940405,0.03015161217940405,0.0031604453165086435,0.0031604453165086435,0.0031604453165086435,0.026991166862895405,0.026991166862895405,0.026991166862895405,0.0,0.0,0.0,153.0707663652989
2023-02-16,149.0368034848466,147.9532474670929,157.21223863037417,149.0368034848466,149.0368034848466,0.0,0.0,0.0,0.024722566094430288,0.024722566094430288,0.024722566094430288,0.0021263400000026585,0.0021263400000026585,0.0021263400000026585,0.02259622609442763,0.02259622609442763,0.02259622609442763,0.0,0.0,0.0,152.72137570950335
2023-02-17,149.48308441402762,148.01535518340782,157.4961050196209,149.48308441402762,149.48308441402762,0.0,0.0,0.0,0.020466589409489477,0.020466589409489477,0.020466589409489477,0.0026241480891376805,0.0026241480891376805,0.0026241480891376805,0.017842441320351798,0.017842441320351798,0.017842441320351798,0.0,0.0,0.0,152.54249332639358
2023-02-21,151.26820813075193,146.7684670014013,155.75075320813852,151.26820813075193,151.26820813075193,0.0,0.0,0.0,-0.0002631673638614873,-0.0002631673638614873,-0.0002631673638614873,0.00319034941595105,0.00319034941595105,0.00319034941595105,-0.0034535167798125373,-0.0034535167798125373,-0.0034535167798125373,0.0,0.0,0.0,151.2283992751821
2023-02-22,151.71448905993296,146.5115476787482,155.6839407268851,151.71448905993296,151.71448905993296,0.0,0.0,0.0,-0.005829813130417808,-0.005829813130417808,-0.005829813130417808,0.0031604453165070758,0.0031604453165070758,0.0031604453165070758,-0.008990258446924883,-0.008990258446924883,-0.008990258446924883,0.0,0.0,0.0,150.83002193953672
2023-02-23,152.16076998911407,145.7581092595684,154.67214032543285,152.16076998911407,152.16076998911407,0.0,0.0,0.0,-0.012337943895094678,-0.012337943895094678,-0.012337943895094678,0.002126339999996671,0.002126339999996671,0.002126339999996671,-0.01446428389509135,-0.01446428389509135,-0.01446428389509135,0.0,0.0,0.0,150.28341894595397
2023-02-24,152.6070509182951,145.57077674507994,154.70279171224882,152.6070509182951,152.6070509182951,0.0,0.0,0.0,-0.017178889961321487,-0.017178889961321487,-0.017178889961321487,0.002624148089156973,0.002624148089156973,0.002624148089156973,-0.01980303805047846,-0.01980303805047846,-0.01980303805047846,0.0,0.0,0.0,149.98543118324793
2023-02-27,153.94589370583833,144.58206724078613,153.347296379683,153.94589370583833,153.94589370583833,0.0,0.0,0.0,-0.031933231742440574,-0.031933231742440574,-0.031933231742440574,0.002399243797215693,0.002399243797215693,0.002399243797215693,-0.034332475539656265,-0.034332475539656265,-0.034332475539656265,0.0,0.0,0.0,149.02990380633267
